"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"NT","941","Diego Libany Garcia Bernal","0","115 cc Elite","NT","1:12.563","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","7"
"NT","166","Johan Camilo GIRALDO RAMIREZ","0","115 cc Elite","NT","1:07.535","","Quindío","CLUB MONSTER GARAGE","6"
"NT","219","Edwin Fernando VARON ULLOA","0","115 cc Elite","NT","1:08.971","","Tolima","CLUB PISTON RACING","6"
"NT","390","Leider Johan ACEVEDO PERILLA","0","115 cc Elite","NT","1:09.404","","Cesar","K-LIMA RACING","6"
"NT","162","ALEXANDER GUARIN SALAZAR","0","115 cc Elite","NT","1:12.001","","Quindío","CLUB MONSTER GARAGE","6"
"NT","110","Nicolas EUSSE LONDOÑO","0","115 cc Elite","NT","1:09.326","","Antioquia","STUNT FIVE","5"
"NT","412","Geronimo OROZCO RIOS","0","115 cc Elite","NT","1:08.608","","Meta","CLUB LLANEROS RANCING","4"
"NT","255","Juan Sebastian WONG RODRÍGUEZ","0","115 cc Elite","NT","1:10.118","","Quindío","CLUB MONSTER GARAGE","4"
"NT","207","David Alejandro FORERO ZAPATA","0","115 cc Elite","NT","1:07.466","","Putumayo","TEAM RACING MOCOA","3"
"NT","155","Juan Felipe HERNANDEZ ALZATE","0","115 cc Elite","NT","1:10.641","","Meta","CLUB LLANEROS RANCING","3"
"NT","343","Juan Pablo BURBANO GOMEZ","0","115 cc Elite","NT","1:10.285","","Putumayo","TEAM RACING MOCOA","3"
"NT","107-E","Andres Felipe SERNA BELTRAN","0","115 cc Elite","NT","1:15.403","","Tolima","CLUB PISTON RACING","1"
"NT","28","Jose Miguel GONZALEZ HERNANDEZ","0","115 cc Elite","NT","","","Quindío","CLUB MONSTER GARAGE",""
"NT","726","Nicolas MILLAN MURILLO","0","115 cc Elite","NT","","","Cauca","CLUB CORONA CLUB XTREME PARK",""
"NT","146","ANDRES SANTIAGO HERNANDEZ COY","0","115 cc Elite","NT","","","Meta","CLUB DE MOTOCICLISMO SANTIHC 146",""
"NT","745-E","Jeronimo HENAO MARIN","0","115 cc Elite","NT","","","Cauca","CLUB CORONA CLUB XTREME PARK",""
"NT","450","Derian Andres ROZO CASTIBLANCO","0","115 cc Elite","NT","","","Cundinamarca","LISTO PILOTO",""
"NT","828","Danny Williams SUAREZ BEDOYA","0","115 cc Elite","NT","","","Cundinamarca","CLUB IGUANA RACING GIRARDOT",""
"NT","888","Jorge Yair BERNAL SUAREZ","0","115 cc Elite","NT","","","Cundinamarca","CLUB GIRARDOT RACING",""
"NT","204","Andres Felipe LONDOÑO TRUJILLO","0","115 cc Elite","NT","","","Antioquia","CLUB GRILLOS RACING",""
"NT","119","Cesar Alfonso TELLEZ OCAMPO","0","115 cc Elite","NT","","","Santander","CLUB FLORIDA EXTREMO",""
"NT","315","Sara Liseth VARON URRUTIA","0","115 cc Elite","NT","","","Tolima","Club Tolima",""
"NT","106","Jose Wilson SAAVEDRA BARRERA","0","115 cc Elite","NT","","","Antioquia","CLUB GRILLOS RACING",""
"NT","104","JUAN CARLOS GIRALDO RAMIREZ","0","115 cc Elite","NT","","","Quindío","CLUB MONSTER GARAGE",""
"NT","551","Rodolfo Tadeo Figueroa Palacios","0","115 cc Elite","NT","","","Cundinamarca","CLUB GIRARDOT RACING",""
"NT","715","Camilo Andres ARANGO DIAZ","0","115 cc Elite","NT","","","Casanare","Club Casanare",""
"NT","78","Hugo Alexander TOVAR OSORIO","0","115 cc Elite","NT","","","Caldas","CLUB RACING PERFORMANCE",""
"NT","977-E","Jeisson David Lamilla","0","115 cc Elite","NT","","","Cauca","CLUB CORONA CLUB XTREME PARK",""
"NT","440","Jeronimo CASTRO RICO","0","115 cc Elite","NT","","","Antioquia","CLUB GRILLOS RACING",""
"NT","377","Edgar Adolfo Rocha tapias","0","115 cc Elite","NT","","","Cundinamarca","CLUB IGUANA RACING GIRARDOT",""
"NT","338","Javier Navas Avila","0","115 cc Elite","NT","","","Cesar","K-LIMA RACING",""
"NT","10","Helio Fabian ALVAREZ NARANJO","0","115 cc Elite","NT","","","Cundinamarca","CLUB IGUANA RACING GIRARDOT",""
"NT","557","Esteban José Ropero Márquez","0","115 cc Elite","NT","","","Cesar","K-LIMA RACING",""
"NT","600","Brayan Humberto diaz cruz","0","115 cc Elite","NT","","","Tolima","CLUB PISTON RACING",""
